Title of wiki page,Number of tokens,Number of links,Ecuadors insekter
Metadorcinus,548,59,True
Atrahasis,609,26,False
Titanus giganteus,685,43,True
Ancognatha jamesoni,465,25,True
Paolo Bossoni,223,12,False
Streptolabis,524,42,True
Thepytus,503,32,False
Spodistes grandis,494,30,True
Helge Christensen,377,33,False
Culion,284,13,False
Pseudautomeris irene,498,38,True
As Seen Through a Telescope,356,11,False
Kjølberggata (Oslo),517,30,False
Hemiphileurus depressus,439,32,True
Sphaenognathus alticollis,500,29,True
Sigurd Sleva,530,35,False
Bad Doberan,212,12,False
Velozideres,534,35,True
Annabella Lwin,191,5,False
Haplophileurus,381,31,True
Henri Hérouin,237,22,False
Venturosa,695,7,False
Catac (distrikt),236,10,False
Gunnar Hellström,525,32,False
Ischasioides,526,44,True
Grammopelta,423,39,True
Erythraenus,538,30,False
Cyclocephala rufovaria,511,36,True
Golofa aegeon,457,26,True
Almaz Ayana,592,48,False
Lycomedes ohausi,530,30,True
Irundiaba,517,37,True
Brasilucanus,497,32,False
Democrates burmeisteri,446,26,True
Haroldiataenius,509,37,False
Mimeoma acuta,484,33,True
Erling Langleite,240,15,False
Etikette,520,27,False
Unaporanga,462,40,True
Cássia,708,11,False
Veladyris,468,54,True
Pseudocalaspidea,424,32,True
Magnetohydrodynamikk,212,10,False
Eftermiddag,128,3,False
Ansgar Gabrielsen,662,66,False
Pat Metheny Groups diskografi,976,53,False
Møkkamann,505,29,False
Ancognatha humeralis,476,29,True
Nordaust,129,3,False
Ash Point,265,13,False
PCM,316,20,False
Ryom Tae-ok,619,35,False
Portabel programvare,400,10,False
Abanycha bicoloricornis,508,48,True
Kjell Fjørtoft,542,31,False
Aequatoria,487,45,True
Maorihonningeter,512,23,False
Polycestaxia,421,21,False
Sandsli/Kokstad,910,76,False
Oxyprosopus,546,46,False
Ingvar Moe,965,141,False
Crepidophorus,598,32,False
Mitracephala humboldti,404,29,True
Muskler,149,3,False
Nikolas III,437,38,False
Agamopus lampros,454,41,True
Ancognatha ustulata,478,27,True
Yohan – Barnevandrer,786,51,False
Magnetterapi,544,20,False
Pachacama,426,24,True
Telegrafstolpen og Tilhengeren,380,15,False
Michaela Kranzl,178,12,False
Oslo Games,188,6,False
Ralph Neville-Grenville,173,10,False
Zhang Liao,306,19,False
Jorda rundt,496,25,False
Amoaba,515,36,True
Golofa aequatorius,509,29,True
Cyclocephala conspicua,489,32,True
Pleuromenus,509,38,True
Populasjonsvekstrate,429,17,False
Kenny Tete,396,14,False
Ungt Entreprenørskap,427,22,False
Acarapé,689,7,False
Acrobolbia,518,31,True
Paal Rune Wian,548,30,False
Sejer – svarte sekunder,522,42,False
Zenon Bortkevitsj,274,28,False
Seberi,695,10,False
Natasha Henstridge,944,72,False
St. Olavs gate (Oslo),647,49,False
Lycomedes buckleyi,504,29,True
Abu Bakr Muhammad ibn Ali al-Madhara'i,878,38,False
Adiposphaerion,474,37,True
Livrustkammaren,501,34,False
Pseudocometes,533,37,True
Funnefoss stadion,308,15,False
Catorthontus,507,36,True
Itapiratins,682,7,False
Cotyschnolea,513,38,True
Cyclocephala vidanoi,456,31,True
Golofa unicolor,449,27,True
Andrachydes,498,38,True
Trizogeniates catsus,423,34,True
Thomas Strakosha,363,15,False
Carsten O. Five,289,20,False
Poeciloxestia,567,53,True
Yusra,453,7,False
Lycomedes bubeniki,497,27,True
Sphaenognathus prionoides,489,31,True
Even Northug,578,38,False
Kvitsøytunnelen,594,29,False
Art Acord,283,33,False
Onorius,497,27,True
Sherri Steinhauer,353,33,False
Propapias sipariana,420,51,True
Ancognatha castanea,460,29,True
Hovorigenium,417,22,True
Lophobothea,505,40,True
Eric Adams,298,24,False
Shaktisme,617,24,False
Amorinópolis,686,8,False
Karel Gott,677,40,False
Postmankind,500,41,False
Berit Overgaard,897,44,False
Sphaenognathus metallifer,489,26,True
Luteolepturges,509,37,True
Don Siegel,634,108,False
Havtor Hovden,838,36,False
Grønsundveien (Oslo),326,14,False
Sphaenognathus oberon,494,26,True
Haugland (Radøy),205,8,False
Antoine Sanguin de Meudon,255,23,False
Francisparna,507,37,True
Masao Nozawa,210,8,False
Anna-Maria Dietze,685,26,False
Eduard von Böhm-Ermolli,693,86,False
Heterogomphus bourcieri,551,30,True
Martina Grimaldi,392,36,False
Maldivenes riksvåpen,230,10,False
Vanndråper på brennende sten,391,23,False
Yannick Bolasie,563,41,False
Høytrykksrygg,341,7,False
Heterogomphus curvicornis,589,29,True
Elzunia,489,56,True
Cantharolethrus azambrei,471,29,True
De Syngende Husmødre,644,34,False
Westboro Baptist Church,646,64,False
Panos Dimas,205,10,False
J. W. Krumpholz,218,14,False
Maggie Q,199,5,False
Bill Maher,862,43,False
Ischasioides,526,44,True
Sphaenognathus lindenii,465,26,True
Pseudacorethra,543,42,True
Pucaya castanea,481,32,True
Helge Nielsen,248,15,False
Liostola,485,39,True
Jonas Andersson (sanger),401,13,False
Den annen front,242,10,False
Heterogomphus rubripennis,491,28,True
Spaethaspis,438,27,True
Abanycha bicolor,495,46,True
Cyclocephala zurstrasseni,502,34,True
Ancognatha quadripunctata,494,28,True
Okamira,476,34,True
Princesa Isabel,708,9,False
God Save the King/Queen,725,30,False
Pseudautomeris yourii,481,28,True
Tengzhou kullkraftverk,260,9,False
MF «Sjernarøy»,247,23,False
Peter Bendow,608,26,False
Spinapecruris curvirostris,254,21,False
Coroicoia,450,35,True
Harposcelis,565,37,True
Andrea Russotto,209,12,False
Santa Rita de Minas,696,9,False
Rashelapso,526,43,True
Scortizus,431,33,True
Mathias Kjølø,465,13,False
Aili Keskitalo,543,28,False
Flaccilla aecas,423,49,True
Lycomedes velutipes,538,30,True
Per Sarin Madsen,822,112,False
Aidoia,572,31,True
Stanislav Palkin,328,14,False
Bongsang av Goguryeo,539,34,False
Bob Hoskins,712,109,False
Stalinisme,747,69,False
Amélie av Orléans,591,33,False
Rashelapso,526,43,True
Icublabia,528,38,True
Peruanus,479,36,True
Ludowika Jakobsson,619,77,False
Pillars of Eternity,924,40,False
Bezarkia,511,35,True
Cantharolethrus luxerii,451,29,True
Rate My Downs,506,25,False
Propalaus,516,26,True
Xeniades,423,51,False
Syndere,304,16,False
Let's Dance (Chris Montez-sang),236,7,False
Hylesiopsis festiva,358,41,True
Percy Ernst Schramm,701,16,False
Tore Skeie,559,25,False
Nakanaihonningeter,314,21,False
Lygrocharis,502,40,True
Perigonia,500,47,False
Rostrogitanopsis,351,29,False
Eskişehir,922,72,False
Martti Ahtisaari,896,84,False
Abanycha,526,54,True
Oryctophileurus,514,34,True
Lorentz Reichwein,439,31,False
Eideria,362,31,True
